Timestamp, Epoch,L3-PSS:SGV501_IN_OPEN_POSITION
2025-08-20 06:21:33.179Z,1755670893179,1
2025-08-20 06:21:33.179Z,1755670893179,1
2025-08-20 06:21:33.179Z,1755670893179,1
2025-08-20 06:21:33.179Z,1755670893179,1
2025-08-20 07:08:53.500Z,1755673733500,0
2025-08-20 07:08:53.500Z,1755673733500,0
2025-08-20 07:08:53.500Z,1755673733500,0
2025-08-20 07:08:53.500Z,1755673733500,0
2025-08-20 07:08:53.500Z,1755673733500,0
2025-08-20 07:08:53.500Z,1755673733500,0
2025-08-20 07:08:53.500Z,1755673733500,0
2025-08-20 07:08:53.500Z,1755673733500,0
2025-08-20 07:08:53.500Z,1755673733500,0
2025-08-20 07:08:53.500Z,1755673733500,0
2025-08-20 07:08:53.500Z,1755673733500,0
2025-08-20 07:08:53.500Z,1755673733500,0
2025-08-20 07:08:53.500Z,1755673733500,0
2025-08-20 07:08:53.500Z,1755673733500,0
2025-08-20 07:08:53.500Z,1755673733500,0
2025-08-20 07:08:53.500Z,1755673733500,0
