Timestamp, Epoch,L1-CMP-C92:CentroidX
2025-09-01 05:00:01.546Z,1756702801546,0
2025-09-01 05:00:01.546Z,1756702801546,0
2025-09-01 05:00:01.546Z,1756702801546,0
2025-09-01 05:00:01.546Z,1756702801546,0
2025-09-01 05:00:01.546Z,1756702801546,0
2025-09-01 05:00:01.546Z,1756702801546,0
2025-09-01 05:00:01.546Z,1756702801546,0
2025-09-01 05:00:01.546Z,1756702801546,0
2025-09-01 05:00:01.546Z,1756702801546,0
2025-09-01 05:00:01.546Z,1756702801546,0
2025-09-01 05:00:01.546Z,1756702801546,0
2025-09-01 05:00:01.546Z,1756702801546,0
2025-09-01 05:00:01.546Z,1756702801546,0
2025-09-01 05:00:01.546Z,1756702801546,0
2025-09-01 05:00:01.546Z,1756702801546,0
2025-09-01 05:00:01.546Z,1756702801546,0
2025-09-01 05:00:01.546Z,1756702801546,0
2025-09-01 05:00:01.546Z,1756702801546,0
2025-09-01 05:00:01.546Z,1756702801546,0
2025-09-01 05:00:01.546Z,1756702801546,0
2025-09-01 05:00:01.546Z,1756702801546,0
2025-09-01 05:00:01.546Z,1756702801546,0
2025-09-01 05:00:01.546Z,1756702801546,0
2025-09-01 05:00:01.546Z,1756702801546,0
2025-09-01 05:00:01.546Z,1756702801546,0
2025-09-01 05:00:01.546Z,1756702801546,0
2025-09-01 05:00:01.546Z,1756702801546,0
2025-09-01 05:00:01.546Z,1756702801546,0
2025-09-01 05:00:01.546Z,1756702801546,0
2025-09-01 05:00:01.546Z,1756702801546,0
2025-09-01 05:00:01.546Z,1756702801546,0
2025-09-01 05:00:01.546Z,1756702801546,0
2025-09-01 05:00:01.546Z,1756702801546,0
2025-09-01 05:00:01.546Z,1756702801546,0
2025-09-01 05:00:01.546Z,1756702801546,0
2025-09-01 05:00:01.546Z,1756702801546,0
2025-09-01 05:00:01.546Z,1756702801546,0
2025-09-01 05:00:01.546Z,1756702801546,0
2025-09-01 05:00:01.546Z,1756702801546,0
2025-09-01 05:00:01.546Z,1756702801546,0
2025-09-01 05:00:01.546Z,1756702801546,0
2025-09-01 05:00:01.546Z,1756702801546,0
2025-09-01 05:00:01.546Z,1756702801546,0
2025-09-01 05:00:01.546Z,1756702801546,0
2025-09-01 05:00:01.546Z,1756702801546,0
2025-09-01 05:00:01.546Z,1756702801546,0
2025-09-01 05:00:01.546Z,1756702801546,0
2025-09-01 05:00:01.546Z,1756702801546,0
2025-09-01 05:00:01.546Z,1756702801546,0
2025-09-01 05:00:01.546Z,1756702801546,0
